Suborn,sub·orn,verb,Jealous neighbours easily suborn the police into arresting them.,Bribe or otherwise induce (someone) to commit an unlawful act,"induce, lure, entice","<a href=""http://www.economist.com/news/books-and-arts/21702162-well-observed-account-pakistans-death-penalty-and-how-it-works-flowers-muck"" target=""_blank"">""Flowers from the muck"" published in <i>The Economist</i></a>",— Sep 3rd 2017 —,[sound:suborn.mp3]
Prone,prone,adjective,Economists are prone to methodological crazes.,"Likely or liable to suffer from, do, or experience something unpleasant","susceptible, vulnerable, inclined","<a href=""http://www.economist.com/news/finance-and-economics/21710800-big-data-have-led-latest-craze-economic-research-economists-are-prone"" target=""_blank"">""Economists are prone to fads, and the latest is machine learning"" published in <i>The Economist</i></a>",— Sep 2nd 2017 —,[sound:prone.mp3]
Surmise,sur·mise,verb,"Scientists, Cohen surmised, were not reporting their unsuccessful research.",Suppose that something is true without having evidence to confirm it,"guess, conjecture, suspect","<a href=""http://www.economist.com/news/science-and-technology/21707513-poor-scientific-methods-may-be-hereditary-incentive-malus"" target=""_blank"">""Incentive malus"" published in <i>The Economist</i></a>",— Sep 1st 2017 —,[sound:surmise.mp3]
Quisling,quis·ling,noun,"It will take much more than one year for the Lib Dems to recover from the bad reputation they (mostly unfairly) acquired in government: as quislings, softies and most of all dissimulators.",A traitor who collaborates with an enemy force occupying their country,,"<a href=""http://www.economist.com/blogs/bagehot/2016/09/fickle-centre"" target=""_blank"">""What is the point of the Liberal Democrats?"" published in <i>The Economist</i></a>",— Aug 31st 2017 —,[sound:quisling.mp3]
Sully,sul·ly,verb,"Their precious theories now sullied, scholars of American politics are hurriedly revising the old, and originating the new.",Damage the purity or integrity of,"taint, defile, soil","<a href=""http://www.economist.com/news/united-states/21706341-political-science-refashions-itself-deal-republican-nominee-trump-and"" target=""_blank"">""Trump and the academy"" published in <i>The Economist</i></a>",— Aug 30th 2017 —,[sound:sully.mp3]
Travesty,tra·ves·ty,noun,"'A travesty of justice,' was Newsweek’s verdict.","A false, absurd, or distorted representation of something","distortion, perversion, corruption","<a href=""http://www.economist.com/blogs/democracyinamerica/2017/01/patriarch-s-swamp"" target=""_blank"">""Donald Trump taps his son-in-law for a job as senior adviser"" published in <i>The Economist</i></a>",— Aug 29th 2017 —,[sound:travesty.mp3]
Abut,a·but,verb,"...apparently in search of handy scapegoats, the Venezuelan leader declared a state of emergency in five municipalities that abut Colombia.",(of a building or an area of land) be next to or have a common boundary with,"be adjacent to, border, butt up against","<a href=""http://www.economist.com/news/americas/21664226-beleaguered-strongman-picks-fight-seeking-scapegoats"" target=""_blank"">""Seeking scapegoats"" published in <i>The Economist</i></a>",— Aug 28th 2017 —,[sound:abut.mp3]
Vagary,va·ga·ry,noun,"Ancient Vedic chants from India devoted thousands of lines to imagery of the heavens; vagaries of weather, the reddening dawn...",An unexpected and inexplicable change in a situation or in someone's behaviour,"quirk, idiosyncrasy, peculiarity","<a href=""http://www.economist.com/news/books/21709235-detailed-look-relationship-human-beings-have-colour-rainbow-hued"" target=""_blank"">""Rainbow-hued"" published in <i>The Economist</i></a>",— Aug 27th 2017 —,[sound:vagary.mp3]
Analogue,an·a·logue,noun,"To take snaps of the next-smallest class of planets... and the class after that (large, rocky planets called “super-Earths” that have no analogue in the solar system)...",A person or thing seen as comparable to another,"parallel, similarity","<a href=""http://www.economist.com/news/science-and-technology/21710789-finding-exoplanets-has-become-routine-next-step-try-photograph"" target=""_blank"">""How to take pictures of exoplanets"" published in <i>The Economist</i></a>",— Aug 25th 2017 —,[sound:analogue.mp3]
Trenchant,tren·chant,adjective,"Mrs Merkel's periodic professions of faith, as the essay notes, have been trenchant enough and yet carefully non-confrontational.",Vigorous or incisive in expression or style,"forceful, strong, pointed","<a href=""http://www.economist.com/blogs/erasmus/2016/01/germany-britain-and-religion"" target=""_blank"">""German politicians are both more and less religious than British ones"" published in <i>The Economist</i></a>",— Aug 24th 2017 —,[sound:trenchant.mp3]
Untoward,un·to·ward,adjective,"Mr Al Menhali, who has a history of health problems, collapsed shortly after the police uncuffed him after realising he was doing nothing untoward.",Unexpected and inappropriate or inconvenient,"unsuitable, malapropos","<a href=""http://www.economist.com/blogs/gulliver/2016/07/wrong-trousers"" target=""_blank"">""To what extent should travellers adjust their dress when abroad?"" published in <i>The Economist</i></a>",— Aug 23rd 2017 —,[sound:untoward.mp3]
Vex,vex,verb,"One year later, contrary to expectations, the justices have delivered another series of rulings to vex conservatives.","Make (someone) feel annoyed, frustrated, or worried","incense, inflame, irk","<a href=""http://www.economist.com/news/united-states/21701498-anthony-kennedy-drifts-left-save-abortion-rights-and-affirmative-action-two-left-feats"" target=""_blank"">""Two left feats"" published in <i>The Economist</i></a>",— Aug 22nd 2017 —,[sound:vex.mp3]
Calumny,cal·um·ny,noun,The Melungeon story has mostly been told in the calumnies and hearsay of outsiders.,A false and slanderous statement,"slander, defamation of character","<a href=""http://www.economist.com/news/united-states/21705639-appalachian-people-offers-timely-parable-nuanced-history-race"" target=""_blank"">""Down in the valley, up on the ridge"" published in <i>The Economist</i></a>",— Aug 21st 2017 —,[sound:calumny.mp3]
Aver,a·ver,verb,"""As many ladies will aver, different shops and fashion labels appear to have varying definitions of what a 'size 6', say, is.""",State or assert to be the case,"proclaim, announce, make known","<a href=""http://www.economist.com/blogs/babbage/2012/02/technology-and-fashion"" target=""_blank"">""One size doesn't fit all"" published in <i>The Economist</i></a>",— Aug 20th 2017 —,[sound:aver.mp3]
Vernal,ver·nal,adjective,"'It must nearly be summer,' I snickered to myself; such is the vernal regularity of industrial action by controllers across the Channel.","Of, in, or appropriate to spring",,"<a href=""http://www.economist.com/blogs/gulliver/2015/04/frances-air-traffic-control-strike"" target=""_blank"">""Au printemps"" published in <i>The Economist</i></a>",— Aug 19th 2017 —,[sound:vernal.mp3]
Calibrate,cal·i·brate,verb,He has hurled himself at the voters. Everything he says is calibrated to woo them.,"Carefully assess, set, or adjust (something abstract)","modify, alter, tune","<a href=""http://www.economist.com/blogs/kaffeeklatsch/2017/04/whither-schulzzug"" target=""_blank"">""A political audit of Martin Schulz"" published in <i>The Economist</i></a>",— Aug 18th 2017 —,[sound:calibrate.mp3]
Secrete,se·crete,verb,"Among the liver’s many jobs is making bile, a substance secreted into the intestine to break down the fats and oils in food.","(of a cell, gland, or organ) produce and discharge (a substance)","emit, excrete, exude","<a href=""http://www.economist.com/news/science-and-technology/21711020-shift-work-and-jet-lag-can-induce-hepatic-tumours-heres-how-why-disrupted-body"" target=""_blank"">""Why disrupted body clocks trigger liver cancer"" published in <i>The Economist</i></a>",— Aug 17th 2017 —,[sound:secrete.mp3]
Revamp,re·vamp,verb,Cubans with spare cash (typically those who have relatives in Miami or do business with tourists) are rushing to revamp rooms and rent them out.,"Give new and improved form, structure, or appearance to","renovate, redecorate, refurbish","<a href=""http://www.economist.com/news/americas/21719812-revolutionary-economy-neither-efficient-nor-fun-what-tourist-industry-reveals-about"" target=""_blank"">""What the tourist industry reveals about Cuba"" published in <i>The Economist</i></a>",— Aug 16th 2017 —,[sound:revamp.mp3]
Assail,as·sail,verb,"Assailed by the rising forces of nationalism, particularly pan-Germanism, the cosmopolitan state began to crumble.",Make a concerted or violent attack on,"assault, make an assault on","<a href=""http://www.economist.com/news/christmas-specials/21712044-city-century-how-vienna-produced-ideas-shaped-west"" target=""_blank"">""How Vienna produced ideas that shaped the West"" published in <i>The Economist</i></a>",— Aug 15th 2017 —,[sound:assail.mp3]
Cardinal,car·din·al,adjective,"In Mr Palin and Mr Jones’s Britain, it is a cardinal sin to take yourself too seriously.",Of the greatest importance,"fundamental, basic, main","<a href=""http://www.economist.com/blogs/prospero/2017/01/nostalgia-and-satire"" target=""_blank"">""“Ripping Yarns” remembers a Britain that is not yet lost"" published in <i>The Economist</i></a>",— Aug 14th 2017 —,[sound:cardinal.mp3]
Scabbard,scab·bard,noun,"They were no longer the best embroidered sherwanis, gem-heavy necklaces, cummerbunds, scabbards and jewelled turbans in which he would attend a durbar...","A sheath for the blade of a sword or dagger, typically made of leather or metal",case,"<a href=""http://www.economist.com/news/obituary/21684115-brajraj-kshatriya-birbar-chamupai-singh-mahapatra-last-prince-british-raj-die"" target=""_blank"">""King of mud, king of rain"" published in <i>The Economist</i></a>",— Aug 13th 2017 —,[sound:scabbard.mp3]
Desiccate,de·sic·cate,verb,"In recent years a rush to mine the region’s abundant minerals has scarred its hills, desiccated its pastures and fueled unrest...","Remove the moisture from (something, especially food)","dry, dry up, dehydrate","<a href=""http://www.economist.com/node/21558605"" target=""_blank"">""Little Hu and the mining of the grasslands"" published in <i>The Economist</i></a>",— Aug 12th 2017 —,[sound:desiccate.mp3]
Aspersion,as·per·sion,noun,Aspersions were cast on opponents’ motives and character.,An attack on the reputation or integrity of someone or something,"vilification, defamation, denigration","<a href=""http://www.economist.com/news/britain/21719817-our-outgoing-columnist-laments-condition-british-state-how-brexit-damaged-britains"" target=""_blank"">""How Brexit damaged Britain’s democracy"" published in <i>The Economist</i></a>",— Aug 11th 2017 —,[sound:aspersion.mp3]
Cloister,cloist·er,verb,"""The calls bouncing off the high-rises for Park Geun-hye to step down are said to have become audible even in the Blue House... where Ms Park had cloistered herself away.""",Seclude or shut up in or as if in a convent or monastery,"confine, isolate, shut away","<a href=""http://www.economist.com/news/asia/21711889-if-she-has-leave-presidential-palace-it-will-not-be-first-time-south-koreas-president"" target=""_blank"">""South Korea’s president fights impeachment and other demons"" published in <i>The Economist</i></a>",— Aug 10th 2017 —,[sound:cloister.mp3]
Rescind,re·scind,verb,Once the order is given there is likely to be only a matter of minutes in which it could be rescinded.,"Revoke, cancel, or repeal (a law, order, or agreement)","reverse, abrogate, overturn","<a href=""http://www.economist.com/news/briefing/21709999-mr-trump-will-soon-control-americas-nuclear-codes-donald-trump-and-nuclear-codes"" target=""_blank"">""Donald Trump and the nuclear codes"" published in <i>The Economist</i></a>",— Aug 9th 2017 —,[sound:rescind.mp3]
Derision,de·ri·sion,noun,The only article about a woman not to be explicitly concerned with her sexuality offered derision instead...,Contemptuous ridicule or mockery,"jeering, jeers, sneers","<a href=""http://www.economist.com/blogs/prospero/2017/04/only-skin-deep"" target=""_blank"">""Playboy’s 1960s feminism is not so appealing now"" published in <i>The Economist</i></a>",— Aug 8th 2017 —,[sound:derision.mp3]
Articulate,ar·ti·cu·late,verb,He articulated like no other the universal unease and helplessness felt by society in a changing world.,Express (an idea or feeling) fluently and coherently,"vocalize, put in words, communicate","<a href=""http://www.economist.com/blogs/prospero/2016/11/closing-time"" target=""_blank"">""A tribute to Leonard Cohen, the “high priest of pathos”"" published in <i>The Economist</i></a>",— Aug 7th 2017 —,[sound:articulate.mp3]
Clamber,clam·ber,verb,"In the past, when Mr Hollande has dug himself into a hole, his friends have helped him clamber back out.","Climb, move, or get in or out of something in an awkward and laborious way","scramble, climb, scrabble","<a href=""http://www.economist.com/news/europe/21709508-fran-ois-hollandes-approval-falls-4-abyss"" target=""_blank"">""Into the abyss"" published in <i>The Economist</i></a>",— Aug 6th 2017 —,[sound:clamber.mp3]
Sinewy,sin·ew·y,adjective,"Mr Hibell was a short, sinewy man, not particularly swift on his feet.",(of a person or animal) lean and muscular,,"<a href=""http://www.economist.com/node/12202333"" target=""_blank"">""Ian Hibell"" published in <i>The Economist</i></a>",— Aug 5th 2017 —,[sound:sinewy.mp3]
Delimit,de·lim·it,verb,Only about half of the meandering border between Kyrgyzstan and Tajikistan has been delimited clearly...,Determine the limits or boundaries of,"establish, set, mark out","<a href=""http://www.economist.com/blogs/banyan/2014/04/enclaves-central-asia"" target=""_blank"">""The post-imperial chessboard"" published in <i>The Economist</i></a>",— Aug 4th 2017 —,[sound:delimit.mp3]
Arresting,ar·rest·ing,adjective,"""Perhaps the most arresting essay is a previously unpublished piece in which Mr Singer urges readers to spare a thought for the poor...""",Striking; eye-catching,"conspicuous, noticeable, dramatic","<a href=""http://www.economist.com/news/books-and-arts/21707177-moral-philosopher-offers-handy-hints-how-live-ethical-life-how-live-well"" target=""_blank"">""How to live well"" published in <i>The Economist</i></a>",— Aug 3rd 2017 —,[sound:arresting.mp3]
Caprice,ca·price,noun,The reaction against a decade in which ideology trumped all has not helped China’s leaders think more profoundly about how to avoid the destructive caprices of unrestrained power.,A sudden and unaccountable change of mood or behavior,"whim, whimsy, vagary","<a href=""http://www.economist.com/news/china/21698701-china-still-denial-about-its-spiritual-holocaust-it-was-worst-times"" target=""_blank"">""It was the worst of times"" published in <i>The Economist</i></a>",— Aug 2nd 2017 —,[sound:caprice.mp3]
Bay,bay,verb,"Baying spectators jab them with sharp sticks, or yank and twist their tails.","(of a group of people) shout loudly, typically to demand something","clamour, shout, call","<a href=""http://www.economist.com/news/asia/21715686-why-indian-judges-must-bow-bovines-ugly-row-about-sacred-cows"" target=""_blank"">""An ugly row about sacred cows"" published in <i>The Economist</i></a>",— Aug 1st 2017 —,[sound:bay.mp3]
Shard,shard,noun,"Evan Smith, a scientist at the Gemological Institute of America, recently studied inclusions in shards cut from diamonds...","A piece of broken ceramic, metal, glass, or rock, typically having sharp edges","fragment, bit, sliver","<a href=""http://www.economist.com/news/international/21717369-production-worlds-most-valuable-gem-may-be-about-peak-report-de-beerss"" target=""_blank"">""A report from De Beers’s new diamond mine"" published in <i>The Economist</i></a>",— Jul 31st 2017 —,[sound:shard.mp3]
Aphorism,a·phor·is·m,noun,"""Many of his tweets read like 19th century philosophical aphorisms. This short, but substantive, form is long established...""",A pithy observation which contains a general truth,"proverb, maxim, axiom","<a href=""https://gre.economist.com/node/add/wotd-definition"" target=""_blank"">""The charms of Twitterature"" published in <i>The Economist</i></a>",— Jul 30th 2017 —,[sound:aphorism.mp3]
Resolve,re·solve,noun,He characterises the right-populist Alternative für Deutschland as a test of the country’s resolve never to ignore the lessons of its past.,Firm determination to do something,"resolution, firmness of purpose","<a href=""http://www.economist.com/blogs/kaffeeklatsch/2017/04/whither-schulzzug"" target=""_blank"">""A political audit of Martin Schulz"" published in <i>The Economist</i></a>",— Jul 29th 2017 —,[sound:resolve.mp3]
Vacillate,va·cill·ate,verb,Emily was known to vacillate between doting indulgence and violent rages...,Alternate or waver between different opinions or actions,"dither, be indecisive","<a href=""http://www.economist.com/news/books-and-arts/21699105-gripping-true-crime-story-past-boys-own"" target=""_blank"">""Boys’ own"" published in <i>The Economist</i></a>",— Jul 28th 2017 —,[sound:vacillate.mp3]
Alleviate,al·le·vi·ate,verb,"""With clever pricing, clearer ownership and a bit of co-operation, water scarcity can be alleviated.""","Make (suffering, deficiency, or a problem) less severe","reduce, ease, relieve","<a href=""http://www.economist.com/news/briefing/21709530-water-becomes-ever-more-scant-world-needs-conserve-it-use-it-more-efficiently-and"" target=""_blank"">""Liquidity crisis"" published in <i>The Economist</i></a>",— Jul 27th 2017 —,[sound:alleviate.mp3]
Tamp,tamp,verb,"Nonetheless, senior Russian officials have recently been tamping down expectations.",Ram or pack (a substance) down or into something firmly,"compress, condense, pack down","<a href=""http://www.economist.com/news/europe/21715186-champagne-and-smiles-russia-friendly-populist-becomes-americas-leader"" target=""_blank"">""Moscow’s power players toast President Trump"" published in <i>The Economist</i></a>",— Jul 26th 2017 —,[sound:tamp.mp3]
Epigram,ep·i·gram,noun,The characters speak in epigrams. What were the challenges of directing a play of this nature?,A pithy saying or remark expressing an idea in a clever and amusing way,"quip, witticism, gem","<a href=""http://www.economist.com/blogs/prospero/2015/08/british-theatre"" target=""_blank"">""Q&amp;A: Adrian Noble"" published in <i>The Economist</i></a>",— Jul 25th 2017 —,[sound:epigram.mp3]
Reproof,re·proof,noun,"As often happens in Italy, a daunting punishment has been whittled down to a mild reproof.",An expression of blame or disapproval,"rebuke, reprimand, reproach","<a href=""http://www.economist.com/news/europe/21601044-embarrassments-pile-up-former-prime-minister-still-has-political-clout-silvio-berlusconi"" target=""_blank"">""Silvio Berlusconi, social worker"" published in <i>The Economist</i></a>",— Jul 24th 2017 —,[sound:reproof.mp3]
Albeit,al·be·it,conjunction,"""Open-source software and websites.... make pricey academic journals free to read (albeit illegally in most jurisdictions)...""",Though,"although, even if, even though","<a href=""http://www.economist.com/news/middle-east-and-africa/21720648-over-recruitment-continent-wide-problem-african-universities-recruit-too-many"" target=""_blank"">""African universities recruit too many students"" published in <i>The Economist</i></a>",— Jul 23rd 2017 —,[sound:albeit.mp3]
Slight,slight,adjective,"The most recent numbers do represent a slight improvement: the national rate fell from 103 killings per 100,000 people in 2015 to 91 last year...",Small in degree; inconsiderable,"modest, little, tiny","<a href=""http://www.economist.com/blogs/graphicdetail/2017/03/daily-chart-23"" target=""_blank"">""The world’s most dangerous cities"" published in <i>The Economist</i></a>",— Jul 22nd 2017 —,[sound:slight.mp3]
Epicure,ep·i·cure,noun,"During 'Project Epicure' five years ago, it made 1,500 visits to Indian homes, rich and poor, to see how people cook and eat.",A person who takes particular pleasure in fine food and drink,"gourmet, gastronome, gourmand","<a href=""http://www.economist.com/node/21525427"" target=""_blank"">""The other Asian giant"" published in <i>The Economist</i></a>",— Jul 21st 2017 —,[sound:epicure.mp3]
Tender,ten·der,adjective,'Rogue One: A Star Wars Story' (2016) offered tender moments between Baze and Chirrut.,Showing gentleness and concern or sympathy,"caring, kind, affectionate","<a href=""http://www.economist.com/blogs/prospero/2017/03/representation-screen-1"" target=""_blank"">""Disney has drawn an outline for gay characters"" published in <i>The Economist</i></a>",— Jul 20th 2017 —,[sound:tender.mp3]
Verbiage,verb·i·age,noun,English-speakers can try to bulldoze opposing arguments through sheer verbiage...,Speech or writing that uses too many words or excessively technical expressions,"verboseness, padding, wordiness","<a href=""http://www.economist.com/news/books-and-arts/21696489-advantages-working-your-own-language-are-obvious-those-working-foreign"" target=""_blank"">""Of two minds"" published in <i>The Economist</i></a>",— Jul 19th 2017 —,[sound:verbiage.mp3]
Slew,slew,noun,"But now a slew of new entrants, flying new fuel-efficient planes, seem to be making a decent fist of it.",A large number or quantity of something,"wide variety, large number, lot","<a href=""http://www.economist.com/blogs/gulliver/2017/03/can-t-buy-frill"" target=""_blank"">""IAG enters the low-cost, long-haul market"" published in <i>The Economist</i></a>",— Jul 18th 2017 —,[sound:slew.mp3]
Enlist,en·list,verb,Confidants whom he allegedly tried to enlist to do his dirty work seem ultimately to have attempted to restrain him.,Engage (a person or their help or support),"obtain, get, win","<a href=""http://www.economist.com/news/united-states/21720588-state-has-lost-leaders-all-three-branches-government-matter"" target=""_blank"">""Alabama politicians keep having to resign"" published in <i>The Economist</i></a>",— Jul 17th 2017 —,[sound:enlist.mp3]
Rend,rend,verb,The race and class fissures that today seem so urgent rend his characters’ lives along with this slow-motion economic blight.,Cause great emotional pain to (a person or their heart),"torment, afflict, torture","<a href=""http://www.economist.com/news/united-states/21707885-bruce-springsteen-bard-lost-american-dreams"" target=""_blank"">""A whole damn city crying"" published in <i>The Economist</i></a>",— Jul 16th 2017 —,[sound:rend.mp3]
Caulking,caulk·ing,noun,"Objects included a caulking gun, a power drill, a handsaw or a 0.45 calibre handgun.","A waterproof filler and sealant, used in building work and repairs",,"<a href=""http://www.economist.com/blogs/babbage/2012/04/evolution-risk-assessment"" target=""_blank"">""Big men with guns"" published in <i>The Economist</i></a>",— Jul 15th 2017 —,[sound:caulking.mp3]
Damp,damp,adjective,Anniversary celebrations of the annexation earlier this month were a damp squib.,Slightly wet,"moist, moistened, wettish","<a href=""http://www.economist.com/news/europe/21719588-protests-show-opposition-leader-alexei-navalny-remains-force-anti-corruption-demonstrations"" target=""_blank"">""Anti-corruption demonstrations sweep across Russia"" published in <i>The Economist</i></a>",— Jul 14th 2017 —,[sound:damp.mp3]
Dross,dross,verb,"Liberating schools to run their own affairs produces some great ones, but also plenty of dross.",Something regarded as worthless; rubbish,"rubbish, junk, debris","<a href=""http://www.economist.com/news/international/21705697-liberating-schools-run-their-own-affairs-produces-some-great-ones-also-plenty"" target=""_blank"">""After freedom, what?"" published in <i>The Economist</i></a>",— Jul 13th 2017 —,[sound:dross.mp3]
Tarnish,tarn·ish,verb,"Mr Kuczynski says Peru can afford both, and that pulling out would tarnish the country’s image abroad.",Make or become less valuable or respected,"sully, besmirch, blacken","<a href=""http://www.economist.com/news/americas/21719463-rebuild-his-own-support-president-pedro-pablo-kuczynski-must-rebuild-shattered"" target=""_blank"">""Floods in Peru are just the latest blow to its economy"" published in <i>The Economist</i></a>",— Jul 12th 2017 —,[sound:tarnish.mp3]
Sedition,se·di·tion,noun,The number of activists and politicians charged with sedition has shot up.,Conduct or speech inciting people to rebel against the authority of a state or monarch,"incitement to rebellion, agitation","<a href=""http://www.economist.com/news/asia/21713838-opposition-has-chance-strike-najib-razak-appears-secure-looks-can-deceive"" target=""_blank"">""Najib Razak appears secure, but looks can deceive"" published in <i>The Economist</i></a>",— Jul 11th 2017 —,[sound:sedition.mp3]
Seemly,seem·ly,adjective,"As ever, the debate among some chefs is whether it is seemly to be so obsessed with winning Michelin stars.",Conforming to accepted notions of propriety or good taste,"decorous, proper, decent","<a href=""http://www.economist.com/blogs/gulliver/2014/09/michelin-guide"" target=""_blank"">""A star to guide you"" published in <i>The Economist</i></a>",— Jul 10th 2017 —,[sound:seemly.mp3]
Platitude,plat·i·tude,noun,"For most of her end-of-term grilling by the liaison committee... she wore an aquiline scowl, quibbling with the questions and, when pushed, cleaving to evasive platitudes...","A remark or statement, especially one with a moral content, that has been used too often to be interesting or thoughtful","cliché, truism, commonplace","<a href=""http://www.economist.com/news/briefing/21713834-understanding-britains-unelected-prime-minister-and-her-prospects-means-grasping-her-background"" target=""_blank"">""Assessing the first six months of Theresa May"" published in <i>The Economist</i></a>",— Jul 9th 2017 —,[sound:platitude.mp3]
